territorio_codigo;territorio_nome;pib_mil_reais_2022;populacao_residente_2022;variacao_populacao_2010_2022;crescimento_populacional_pct_2010_2022;unidades_locais_2022;empresas_atuantes_2022;pessoal_ocupado_total_2022;pessoal_ocupado_assalariado_2022;salarios_mil_reais_2022;salario_medio_mensal_reais_2022;participacao_agropecuaria_pct_2021;participacao_industria_pct_2021;participacao_servicos_pct_2021;participacao_administracao_pct_2021;pib_per_capita_reais_2022;unidades_locais_por_mil_hab_2022;intensidade_ocupacao_formal_por_mil_hab_2022;proporcao_assalariados_pct_2022;quadrante_economico
2300101;Abaiara - CE;126794;10038.0;-418.0;-0.34;125.0;122.0;1184.0;1080.0;25670.0;2283.58;20.99;2.71;25.81;50.49;12631.400677425781;12.452679816696554;117.95178322374974;91.21621621621621;baixo PIB per capita / alta intensidade
2300150;Acarape - CE;183507;14027.0;366.0;0.22;239.0;232.0;1936.0;1708.0;38919.0;1794.11;5.52;20.27;33.88;40.34;13082.412490197476;17.038568475083768;138.0195337563271;88.22314049586777;baixo PIB per capita / alta intensidade
2300200;Acaraú - CE;1184672;65264.0;8074.0;1.11;1164.0;1116.0;6296.0;4961.0;164309.0;2273.63;13.97;27.79;30.39;27.86;18151.998038734982;17.835253738661436;96.4697229713165;78.79606099110546;alto PIB per capita / baixa intensidade
2300309;Acopiara - CE;604192;44962.0;-6309.0;-1.09;939.0;904.0;3840.0;2937.0;76738.0;2022.61;27.58;3.72;32.48;36.22;13437.83639517815;20.884302299719764;85.40545349406166;76.484375;alto PIB per capita / baixa intensidade
2300408;Aiuaba - CE;146744;14076.0;-2127.0;-1.17;221.0;218.0;1457.0;1259.0;24337.0;1455.29;23.34;2.12;23.2;51.34;10425.12077294686;15.70048309178744;103.50951974992896;86.41043239533288;baixo PIB per capita / alta intensidade
2300507;Alcântaras - CE;105770;11369.0;492.0;0.37;192.0;191.0;977.0;802.0;20117.0;1799.64;8.92;5.08;27.86;58.13;9303.368809921716;16.888028850382618;85.93543847304072;82.08802456499488;baixo PIB per capita / baixa intensidade
2300606;Altaneira - CE;82201;6782.0;-74.0;-0.09;125.0;125.0;663.0;567.0;17607.0;1858.19;13.28;3.55;26.63;56.54;12120.465939250958;18.43114125626659;97.75877322323798;85.52036199095022;baixo PIB per capita / baixa intensidade
2300705;Alto Santo - CE;240389;14155.0;-1095.0;-0.62;368.0;357.0;1890.0;1471.0;35695.0;1837.88;32.9;4.63;25.72;36.75;16982.620981985165;25.997880607559168;133.52172377251856;77.83068783068782;alto PIB per capita / alta intensidade
2300754;Amontada - CE;684586;42156.0;2984.0;0.61;753.0;737.0;4193.0;3389.0;105421.0;2214.68;8.66;36.05;23.48;31.81;16239.349084353355;17.86222601764873;99.46389600531359;80.82518483186263;alto PIB per capita / baixa intensidade
2300804;Antonina do Norte - CE;89238;7245.0;261.0;0.31;160.0;156.0;751.0;629.0;16917.0;2087.79;7.64;3.97;34.52;53.87;12317.184265010352;22.084195997239476;103.65769496204278;83.75499334221038;baixo PIB per capita / alta intensidade
2300903;Apuiarés - CE;134458;12928.0;-733.0;-0.46;244.0;242.0;1216.0;987.0;27344.0;2084.28;10.05;4.76;31.24;53.95;10400.52599009901;18.87376237623762;94.05940594059406;81.16776315789474;baixo PIB per capita / baixa intensidade
2301000;Aquiraz - CE;4429050;80645.0;7993.0;0.87;2427.0;2313.0;22598.0;19882.0;628398.0;2455.59;3.32;34.18;47.25;15.24;54920.32984065968;30.09486018972038;280.21576043152083;87.98123727763519;alto PIB per capita / alta intensidade
2301109;Aracati - CE;1791174;75113.0;5936.0;0.69;2249.0;2136.0;13078.0;10729.0;268988.0;1950.45;8.39;34.02;38.46;19.12;23846.391436901733;29.941554724215518;174.11100608416652;82.03853800275272;alto PIB per capita / alta intensidade
2301208;Aracoiaba - CE;285457;25553.0;215.0;0.07;464.0;451.0;3085.0;2669.0;57979.0;1777.94;17.14;4.21;31.9;46.75;11171.17363910304;18.158337572887724;120.72946425077289;86.51539708265801;baixo PIB per capita / alta intensidade
2301257;Ararendá - CE;117634;11096.0;595.0;0.46;222.0;218.0;1229.0;1020.0;22720.0;1749.17;13.04;5.46;27.34;54.17;10601.478010093728;20.007209805335254;110.7606344628695;82.99430431244915;baixo PIB per capita / alta intensidade
2301307;Araripe - CE;219194;19783.0;-896.0;-0.37;330.0;322.0;1440.0;1147.0;42236.0;2546.5;18.15;4.01;24.23;53.61;11079.917100540868;16.680988727695496;72.78976899358035;79.65277777777777;baixo PIB per capita / baixa intensidade
2301406;Aratuba - CE;159277;11224.0;-792.0;-0.57;187.0;184.0;1119.0;966.0;27369.0;2025.72;35.14;2.72;22.23;39.9;14190.75196008553;16.66072701354241;99.69707769066287;86.32707774798928;alto PIB per capita / baixa intensidade
2301505;Arneiroz - CE;81651;7429.0;-221.0;-0.24;133.0;131.0;684.0;563.0;12835.0;1762.52;21.48;2.72;25.42;50.38;10990.846681922198;17.902813299232736;92.07161125319693;82.30994152046783;baixo PIB per capita / baixa intensidade
2301604;Assaré - CE;273041;21697.0;-701.0;-0.26;388.0;375.0;1897.0;1550.0;38673.0;1993.0;19.8;3.43;33.76;43.01;12584.274323639213;17.88265658846845;87.43144213485736;81.70795993674223;baixo PIB per capita / baixa intensidade
2301703;Aurora - CE;250837;23714.0;-852.0;-0.29;401.0;377.0;1744.0;1345.0;37631.0;1995.15;15.58;3.42;32.15;48.84;10577.591296280678;16.909842287256474;73.54305473559923;77.12155963302753;baixo PIB per capita / baixa intensidade
2301802;Baixio - CE;69658;5704.0;-322.0;-0.46;115.0;113.0;717.0;619.0;13800.0;1849.93;21.75;3.3;22.05;52.9;12212.131837307154;20.161290322580644;125.70126227208978;86.33193863319386;baixo PIB per capita / alta intensidade
