nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor;valor_numerico;status_valor
N1;Brasil;1;Brasil;2022;2022;706;Número de unidades locais;Unidades;10607102.0;10607102.0;disponivel
N3;Unidade da Federação;23;Ceará;2022;2022;706;Número de unidades locais;Unidades;273117.0;273117.0;disponivel
N6;Município;2300101;Abaiara - CE;2022;2022;706;Número de unidades locais;Unidades;125.0;125.0;disponivel
N6;Município;2300150;Acarape - CE;2022;2022;706;Número de unidades locais;Unidades;239.0;239.0;disponivel
N6;Município;2300200;Acaraú - CE;2022;2022;706;Número de unidades locais;Unidades;1164.0;1164.0;disponivel
N6;Município;2300309;Acopiara - CE;2022;2022;706;Número de unidades locais;Unidades;939.0;939.0;disponivel
N6;Município;2300408;Aiuaba - CE;2022;2022;706;Número de unidades locais;Unidades;221.0;221.0;disponivel
N6;Município;2300507;Alcântaras - CE;2022;2022;706;Número de unidades locais;Unidades;192.0;192.0;disponivel
N6;Município;2300606;Altaneira - CE;2022;2022;706;Número de unidades locais;Unidades;125.0;125.0;disponivel
N6;Município;2300705;Alto Santo - CE;2022;2022;706;Número de unidades locais;Unidades;368.0;368.0;disponivel
N6;Município;2300754;Amontada - CE;2022;2022;706;Número de unidades locais;Unidades;753.0;753.0;disponivel
N6;Município;2300804;Antonina do Norte - CE;2022;2022;706;Número de unidades locais;Unidades;160.0;160.0;disponivel
N6;Município;2300903;Apuiarés - CE;2022;2022;706;Número de unidades locais;Unidades;244.0;244.0;disponivel
N6;Município;2301000;Aquiraz - CE;2022;2022;706;Número de unidades locais;Unidades;2427.0;2427.0;disponivel
N6;Município;2301109;Aracati - CE;2022;2022;706;Número de unidades locais;Unidades;2249.0;2249.0;disponivel
N6;Município;2301208;Aracoiaba - CE;2022;2022;706;Número de unidades locais;Unidades;464.0;464.0;disponivel
N6;Município;2301257;Ararendá - CE;2022;2022;706;Número de unidades locais;Unidades;222.0;222.0;disponivel
N6;Município;2301307;Araripe - CE;2022;2022;706;Número de unidades locais;Unidades;330.0;330.0;disponivel
N6;Município;2301406;Aratuba - CE;2022;2022;706;Número de unidades locais;Unidades;187.0;187.0;disponivel
N6;Município;2301505;Arneiroz - CE;2022;2022;706;Número de unidades locais;Unidades;133.0;133.0;disponivel
N6;Município;2301604;Assaré - CE;2022;2022;706;Número de unidades locais;Unidades;388.0;388.0;disponivel
N6;Município;2301703;Aurora - CE;2022;2022;706;Número de unidades locais;Unidades;401.0;401.0;disponivel
N6;Município;2301802;Baixio - CE;2022;2022;706;Número de unidades locais;Unidades;115.0;115.0;disponivel
N6;Município;2301851;Banabuiú - CE;2022;2022;706;Número de unidades locais;Unidades;304.0;304.0;disponivel
N6;Município;2301901;Barbalha - CE;2022;2022;706;Número de unidades locais;Unidades;1652.0;1652.0;disponivel
N6;Município;2301950;Barreira - CE;2022;2022;706;Número de unidades locais;Unidades;436.0;436.0;disponivel
N6;Município;2302008;Barro - CE;2022;2022;706;Número de unidades locais;Unidades;356.0;356.0;disponivel
N6;Município;2302057;Barroquinha - CE;2022;2022;706;Número de unidades locais;Unidades;262.0;262.0;disponivel
N6;Município;2302107;Baturité - CE;2022;2022;706;Número de unidades locais;Unidades;859.0;859.0;disponivel
N6;Município;2302206;Beberibe - CE;2022;2022;706;Número de unidades locais;Unidades;1103.0;1103.0;disponivel
N6;Município;2302305;Bela Cruz - CE;2022;2022;706;Número de unidades locais;Unidades;519.0;519.0;disponivel
N6;Município;2302404;Boa Viagem - CE;2022;2022;706;Número de unidades locais;Unidades;940.0;940.0;disponivel
N6;Município;2302503;Brejo Santo - CE;2022;2022;706;Número de unidades locais;Unidades;1190.0;1190.0;disponivel
N6;Município;2302602;Camocim - CE;2022;2022;706;Número de unidades locais;Unidades;1357.0;1357.0;disponivel
N6;Município;2302701;Campos Sales - CE;2022;2022;706;Número de unidades locais;Unidades;551.0;551.0;disponivel
N6;Município;2302800;Canindé - CE;2022;2022;706;Número de unidades locais;Unidades;1878.0;1878.0;disponivel
N6;Município;2302909;Capistrano - CE;2022;2022;706;Número de unidades locais;Unidades;265.0;265.0;disponivel
N6;Município;2303006;Caridade - CE;2022;2022;706;Número de unidades locais;Unidades;305.0;305.0;disponivel
N6;Município;2303105;Cariré - CE;2022;2022;706;Número de unidades locais;Unidades;303.0;303.0;disponivel
N6;Município;2303204;Caririaçu - CE;2022;2022;706;Número de unidades locais;Unidades;319.0;319.0;disponivel
N6;Município;2303303;Cariús - CE;2022;2022;706;Número de unidades locais;Unidades;328.0;328.0;disponivel
N6;Município;2303402;Carnaubal - CE;2022;2022;706;Número de unidades locais;Unidades;276.0;276.0;disponivel
N6;Município;2303501;Cascavel - CE;2022;2022;706;Número de unidades locais;Unidades;1726.0;1726.0;disponivel
N6;Município;2303600;Catarina - CE;2022;2022;706;Número de unidades locais;Unidades;189.0;189.0;disponivel
N6;Município;2303659;Catunda - CE;2022;2022;706;Número de unidades locais;Unidades;232.0;232.0;disponivel
N6;Município;2303709;Caucaia - CE;2022;2022;706;Número de unidades locais;Unidades;8108.0;8108.0;disponivel
N6;Município;2303808;Cedro - CE;2022;2022;706;Número de unidades locais;Unidades;445.0;445.0;disponivel
