nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor;valor_numerico;status_valor
N1;Brasil;1;Brasil;2022;2022;93;População residente;Pessoas;203080756.0;203080756.0;disponivel
N3;Unidade da Federação;23;Ceará;2022;2022;93;População residente;Pessoas;8794957.0;8794957.0;disponivel
N6;Município;2300101;Abaiara - CE;2022;2022;93;População residente;Pessoas;10038.0;10038.0;disponivel
N6;Município;2300150;Acarape - CE;2022;2022;93;População residente;Pessoas;14027.0;14027.0;disponivel
N6;Município;2300200;Acaraú - CE;2022;2022;93;População residente;Pessoas;65264.0;65264.0;disponivel
N6;Município;2300309;Acopiara - CE;2022;2022;93;População residente;Pessoas;44962.0;44962.0;disponivel
N6;Município;2300408;Aiuaba - CE;2022;2022;93;População residente;Pessoas;14076.0;14076.0;disponivel
N6;Município;2300507;Alcântaras - CE;2022;2022;93;População residente;Pessoas;11369.0;11369.0;disponivel
N6;Município;2300606;Altaneira - CE;2022;2022;93;População residente;Pessoas;6782.0;6782.0;disponivel
N6;Município;2300705;Alto Santo - CE;2022;2022;93;População residente;Pessoas;14155.0;14155.0;disponivel
N6;Município;2300754;Amontada - CE;2022;2022;93;População residente;Pessoas;42156.0;42156.0;disponivel
N6;Município;2300804;Antonina do Norte - CE;2022;2022;93;População residente;Pessoas;7245.0;7245.0;disponivel
N6;Município;2300903;Apuiarés - CE;2022;2022;93;População residente;Pessoas;12928.0;12928.0;disponivel
N6;Município;2301000;Aquiraz - CE;2022;2022;93;População residente;Pessoas;80645.0;80645.0;disponivel
N6;Município;2301109;Aracati - CE;2022;2022;93;População residente;Pessoas;75113.0;75113.0;disponivel
N6;Município;2301208;Aracoiaba - CE;2022;2022;93;População residente;Pessoas;25553.0;25553.0;disponivel
N6;Município;2301257;Ararendá - CE;2022;2022;93;População residente;Pessoas;11096.0;11096.0;disponivel
N6;Município;2301307;Araripe - CE;2022;2022;93;População residente;Pessoas;19783.0;19783.0;disponivel
N6;Município;2301406;Aratuba - CE;2022;2022;93;População residente;Pessoas;11224.0;11224.0;disponivel
N6;Município;2301505;Arneiroz - CE;2022;2022;93;População residente;Pessoas;7429.0;7429.0;disponivel
N6;Município;2301604;Assaré - CE;2022;2022;93;População residente;Pessoas;21697.0;21697.0;disponivel
N6;Município;2301703;Aurora - CE;2022;2022;93;População residente;Pessoas;23714.0;23714.0;disponivel
N6;Município;2301802;Baixio - CE;2022;2022;93;População residente;Pessoas;5704.0;5704.0;disponivel
N6;Município;2301851;Banabuiú - CE;2022;2022;93;População residente;Pessoas;17195.0;17195.0;disponivel
N6;Município;2301901;Barbalha - CE;2022;2022;93;População residente;Pessoas;75033.0;75033.0;disponivel
N6;Município;2301950;Barreira - CE;2022;2022;93;População residente;Pessoas;22392.0;22392.0;disponivel
N6;Município;2302008;Barro - CE;2022;2022;93;População residente;Pessoas;19381.0;19381.0;disponivel
N6;Município;2302057;Barroquinha - CE;2022;2022;93;População residente;Pessoas;14567.0;14567.0;disponivel
N6;Município;2302107;Baturité - CE;2022;2022;93;População residente;Pessoas;35218.0;35218.0;disponivel
N6;Município;2302206;Beberibe - CE;2022;2022;93;População residente;Pessoas;53114.0;53114.0;disponivel
N6;Município;2302305;Bela Cruz - CE;2022;2022;93;População residente;Pessoas;32775.0;32775.0;disponivel
N6;Município;2302404;Boa Viagem - CE;2022;2022;93;População residente;Pessoas;50411.0;50411.0;disponivel
N6;Município;2302503;Brejo Santo - CE;2022;2022;93;População residente;Pessoas;51090.0;51090.0;disponivel
N6;Município;2302602;Camocim - CE;2022;2022;93;População residente;Pessoas;62326.0;62326.0;disponivel
N6;Município;2302701;Campos Sales - CE;2022;2022;93;População residente;Pessoas;25135.0;25135.0;disponivel
N6;Município;2302800;Canindé - CE;2022;2022;93;População residente;Pessoas;74174.0;74174.0;disponivel
N6;Município;2302909;Capistrano - CE;2022;2022;93;População residente;Pessoas;17254.0;17254.0;disponivel
N6;Município;2303006;Caridade - CE;2022;2022;93;População residente;Pessoas;16377.0;16377.0;disponivel
N6;Município;2303105;Cariré - CE;2022;2022;93;População residente;Pessoas;17632.0;17632.0;disponivel
N6;Município;2303204;Caririaçu - CE;2022;2022;93;População residente;Pessoas;26320.0;26320.0;disponivel
N6;Município;2303303;Cariús - CE;2022;2022;93;População residente;Pessoas;17015.0;17015.0;disponivel
N6;Município;2303402;Carnaubal - CE;2022;2022;93;População residente;Pessoas;17210.0;17210.0;disponivel
N6;Município;2303501;Cascavel - CE;2022;2022;93;População residente;Pessoas;72720.0;72720.0;disponivel
N6;Município;2303600;Catarina - CE;2022;2022;93;População residente;Pessoas;10243.0;10243.0;disponivel
N6;Município;2303659;Catunda - CE;2022;2022;93;População residente;Pessoas;10444.0;10444.0;disponivel
N6;Município;2303709;Caucaia - CE;2022;2022;93;População residente;Pessoas;355679.0;355679.0;disponivel
N6;Município;2303808;Cedro - CE;2022;2022;93;População residente;Pessoas;22344.0;22344.0;disponivel
N6;Município;2303907;Chaval - CE;2022;2022;93;População residente;Pessoas;12462.0;12462.0;disponivel
N6;Município;2303931;Choró - CE;2022;2022;93;População residente;Pessoas;12113.0;12113.0;disponivel
N6;Município;2303956;Chorozinho - CE;2022;2022;93;População residente;Pessoas;20163.0;20163.0;disponivel
N6;Município;2304004;Coreaú - CE;2022;2022;93;População residente;Pessoas;20953.0;20953.0;disponivel
N6;Município;2304103;Crateús - CE;2022;2022;93;População residente;Pessoas;76390.0;76390.0;disponivel
N6;Município;2304202;Crato - CE;2022;2022;93;População residente;Pessoas;131050.0;131050.0;disponivel
N6;Município;2304236;Croatá - CE;2022;2022;93;População residente;Pessoas;17481.0;17481.0;disponivel
N6;Município;2304251;Cruz - CE;2022;2022;93;População residente;Pessoas;29761.0;29761.0;disponivel
N6;Município;2304269;Deputado Irapuan Pinheiro - CE;2022;2022;93;População residente;Pessoas;8932.0;8932.0;disponivel
N6;Município;2304277;Ereré - CE;2022;2022;93;População residente;Pessoas;6474.0;6474.0;disponivel
N6;Município;2304285;Eusébio - CE;2022;2022;93;População residente;Pessoas;74170.0;74170.0;disponivel
N6;Município;2304301;Farias Brito - CE;2022;2022;93;População residente;Pessoas;18217.0;18217.0;disponivel
N6;Município;2304350;Forquilha - CE;2022;2022;93;População residente;Pessoas;24173.0;24173.0;disponivel
N6;Município;2304400;Fortaleza - CE;2022;2022;93;População residente;Pessoas;2428708.0;2428708.0;disponivel
N6;Município;2304459;Fortim - CE;2022;2022;93;População residente;Pessoas;17294.0;17294.0;disponivel
N6;Município;2304509;Frecheirinha - CE;2022;2022;93;População residente;Pessoas;15657.0;15657.0;disponivel
N6;Município;2304608;General Sampaio - CE;2022;2022;93;População residente;Pessoas;6734.0;6734.0;disponivel
N6;Município;2304657;Graça - CE;2022;2022;93;População residente;Pessoas;13801.0;13801.0;disponivel
N6;Município;2304707;Granja - CE;2022;2022;93;População residente;Pessoas;53344.0;53344.0;disponivel
N6;Município;2304806;Granjeiro - CE;2022;2022;93;População residente;Pessoas;4841.0;4841.0;disponivel
N6;Município;2304905;Groaíras - CE;2022;2022;93;População residente;Pessoas;10910.0;10910.0;disponivel
N6;Município;2304954;Guaiúba - CE;2022;2022;93;População residente;Pessoas;24325.0;24325.0;disponivel
