nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor;valor_numerico;status_valor
N1;Brasil;1;Brasil;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;9012142000.0;9012142000.0;disponivel
N3;Unidade da Federação;23;Ceará;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;194884802.0;194884802.0;disponivel
N6;Município;2300101;Abaiara - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;117971.0;117971.0;disponivel
N6;Município;2300150;Acarape - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;179994.0;179994.0;disponivel
N6;Município;2300200;Acaraú - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1020201.0;1020201.0;disponivel
N6;Município;2300309;Acopiara - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;564520.0;564520.0;disponivel
N6;Município;2300408;Aiuaba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;151596.0;151596.0;disponivel
N6;Município;2300507;Alcântaras - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;98202.0;98202.0;disponivel
N6;Município;2300606;Altaneira - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;74654.0;74654.0;disponivel
N6;Município;2300705;Alto Santo - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;232268.0;232268.0;disponivel
N6;Município;2300754;Amontada - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;665472.0;665472.0;disponivel
N6;Município;2300804;Antonina do Norte - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;78953.0;78953.0;disponivel
N6;Município;2300903;Apuiarés - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;120978.0;120978.0;disponivel
N6;Município;2301000;Aquiraz - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;3854401.0;3854401.0;disponivel
N6;Município;2301109;Aracati - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1706227.0;1706227.0;disponivel
N6;Município;2301208;Aracoiaba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;266422.0;266422.0;disponivel
N6;Município;2301257;Ararendá - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;106784.0;106784.0;disponivel
N6;Município;2301307;Araripe - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;207982.0;207982.0;disponivel
N6;Município;2301406;Aratuba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;151645.0;151645.0;disponivel
N6;Município;2301505;Arneiroz - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;70224.0;70224.0;disponivel
N6;Município;2301604;Assaré - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;237259.0;237259.0;disponivel
N6;Município;2301703;Aurora - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;216792.0;216792.0;disponivel
N6;Município;2301802;Baixio - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;67541.0;67541.0;disponivel
N6;Município;2301851;Banabuiú - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;260031.0;260031.0;disponivel
N6;Município;2301901;Barbalha - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1345205.0;1345205.0;disponivel
N6;Município;2301950;Barreira - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;240016.0;240016.0;disponivel
N6;Município;2302008;Barro - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;242027.0;242027.0;disponivel
N6;Município;2302057;Barroquinha - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;133335.0;133335.0;disponivel
N6;Município;2302107;Baturité - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;448272.0;448272.0;disponivel
N6;Município;2302206;Beberibe - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1059006.0;1059006.0;disponivel
N6;Município;2302305;Bela Cruz - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;322244.0;322244.0;disponivel
N6;Município;2302404;Boa Viagem - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;539218.0;539218.0;disponivel
N6;Município;2302503;Brejo Santo - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;817034.0;817034.0;disponivel
N6;Município;2302602;Camocim - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;839500.0;839500.0;disponivel
N6;Município;2302701;Campos Sales - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;292357.0;292357.0;disponivel
N6;Município;2302800;Canindé - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;911356.0;911356.0;disponivel
N6;Município;2302909;Capistrano - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;176809.0;176809.0;disponivel
N6;Município;2303006;Caridade - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;186169.0;186169.0;disponivel
N6;Município;2303105;Cariré - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;193105.0;193105.0;disponivel
N6;Município;2303204;Caririaçu - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;253127.0;253127.0;disponivel
N6;Município;2303303;Cariús - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;180984.0;180984.0;disponivel
N6;Município;2303402;Carnaubal - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;166772.0;166772.0;disponivel
N6;Município;2303501;Cascavel - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1074377.0;1074377.0;disponivel
N6;Município;2303600;Catarina - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;154108.0;154108.0;disponivel
N6;Município;2303659;Catunda - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;112081.0;112081.0;disponivel
N6;Município;2303709;Caucaia - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;10422701.0;10422701.0;disponivel
N6;Município;2303808;Cedro - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;247325.0;247325.0;disponivel
N6;Município;2303907;Chaval - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;110318.0;110318.0;disponivel
N6;Município;2303931;Choró - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;178989.0;178989.0;disponivel
N6;Município;2303956;Chorozinho - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;260273.0;260273.0;disponivel
N6;Município;2304004;Coreaú - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;225090.0;225090.0;disponivel
N6;Município;2304103;Crateús - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;952649.0;952649.0;disponivel
N6;Município;2304202;Crato - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;1871587.0;1871587.0;disponivel
N6;Município;2304236;Croatá - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;224437.0;224437.0;disponivel
N6;Município;2304251;Cruz - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;372681.0;372681.0;disponivel
N6;Município;2304269;Deputado Irapuan Pinheiro - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;100883.0;100883.0;disponivel
N6;Município;2304277;Ereré - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;80690.0;80690.0;disponivel
N6;Município;2304285;Eusébio - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;3577497.0;3577497.0;disponivel
N6;Município;2304301;Farias Brito - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;202248.0;202248.0;disponivel
N6;Município;2304350;Forquilha - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;304957.0;304957.0;disponivel
N6;Município;2304400;Fortaleza - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;73437739.0;73437739.0;disponivel
N6;Município;2304459;Fortim - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;312460.0;312460.0;disponivel
N6;Município;2304509;Frecheirinha - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;275921.0;275921.0;disponivel
N6;Município;2304608;General Sampaio - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;86963.0;86963.0;disponivel
N6;Município;2304657;Graça - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;129711.0;129711.0;disponivel
N6;Município;2304707;Granja - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;469407.0;469407.0;disponivel
N6;Município;2304806;Granjeiro - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;51337.0;51337.0;disponivel
N6;Município;2304905;Groaíras - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;110755.0;110755.0;disponivel
N6;Município;2304954;Guaiúba - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;231993.0;231993.0;disponivel
N6;Município;2305001;Guaraciaba do Norte - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;669209.0;669209.0;disponivel
N6;Município;2305100;Guaramiranga - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;80396.0;80396.0;disponivel
N6;Município;2305209;Hidrolândia - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;185025.0;185025.0;disponivel
N6;Município;2305233;Horizonte - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;2116782.0;2116782.0;disponivel
N6;Município;2305266;Ibaretama - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;132265.0;132265.0;disponivel
N6;Município;2305308;Ibiapina - CE;2021;2021;37;Produto Interno Bruto a preços correntes;Mil Reais;348540.0;348540.0;disponivel
