nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;valor;valor_numerico;status_valor
N1;Brasil;1;Brasil;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;10079676378;10079676378;disponivel
N3;Unidade da Federação;23;Ceará;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;213600674;213600674;disponivel
N6;Município;2300101;Abaiara - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;126794;126794;disponivel
N6;Município;2300150;Acarape - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;183507;183507;disponivel
N6;Município;2300200;Acaraú - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;1184672;1184672;disponivel
N6;Município;2300309;Acopiara - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;604192;604192;disponivel
N6;Município;2300408;Aiuaba - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;146744;146744;disponivel
N6;Município;2300507;Alcântaras - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;105770;105770;disponivel
N6;Município;2300606;Altaneira - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;82201;82201;disponivel
N6;Município;2300705;Alto Santo - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;240389;240389;disponivel
N6;Município;2300754;Amontada - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;684586;684586;disponivel
N6;Município;2300804;Antonina do Norte - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;89238;89238;disponivel
N6;Município;2300903;Apuiarés - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;134458;134458;disponivel
N6;Município;2301000;Aquiraz - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;4429050;4429050;disponivel
N6;Município;2301109;Aracati - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;1791174;1791174;disponivel
N6;Município;2301208;Aracoiaba - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;285457;285457;disponivel
N6;Município;2301257;Ararendá - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;117634;117634;disponivel
N6;Município;2301307;Araripe - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;219194;219194;disponivel
N6;Município;2301406;Aratuba - CE;2022;2022;37;Produto Interno Bruto a preços correntes;Mil Reais;159277;159277;disponivel
